Genus	Hybrid	iacLike	iadLike	TotalGenus	PropHybrid	PropiacLike	PropiadLike	ClassificationMajority	RatioSampledMeanDistPhylo
Propioniferax	0	1	0	1	0	1	0	iacLike	1
Prosthecomicrobium	0	0	1	3	0	0	0.333333333333333	iadLike	0.00152880394495906
Proteobacteria	1	0	0	1	1	0	0	Hybrid	1
Pseudacidovorax	0	0	4	4	0	0	1	iadLike	1
Pseudocitrobacter	0	4	0	4	0	1	0	iacLike	1
Pseudoglutamicibacter	0	1	0	3	0	0.333333333333333	0	iacLike	0.177056506999793
Pseudolabrys	0	0	2	4	0	0	0.5	iadLike	0.421691517003007
Pseudomonas	7	504	2	10565	0.000662565073355419	0.0477046852815902	0.000189304306672977	iacLike	0.884497368484249
Pseudonocardia	1	2	0	59	0.0169491525423729	0.0338983050847458	0	iacLike	0.888599330675431
Pseudooceanicola	0	3	0	19	0	0.157894736842105	0	iacLike	0.436752729979366
Pseudoteredinibacter	0	0	3	3	0	0	1	iadLike	1
Pseudovibrio	0	0	19	24	0	0	0.791666666666667	iadLike	0.478842264457446
Pseudoxanthomonas	0	5	1	67	0	0.0746268656716418	0.0149253731343284	iacLike	0.173079580214303
Pueribacillus	0	0	1	1	0	0	1	iadLike	1
Pusillimonas	0	0	19	25	0	0	0.76	iadLike	0.990407908217625
Raineyella	0	1	0	2	0	0.5	0	iacLike	0.516693464485009
Ramlibacter	0	0	5	16	0	0	0.3125	iadLike	1.05
Raoultella	0	155	0	192	0	0.807291666666667	0	iacLike	0.873406044710166
Reyranella	0	0	1	3	0	0	0.333333333333333	iadLike	0.0490368611205266
Rhizobiales	0	3	0	873	0	0.00343642611683849	0	iacLike	0.00538769343974965
Rhizobium	0	11	0	928	0	0.0118534482758621	0	iacLike	1.05
Rhodobacteraceae	0	1	4	105	0	0.00952380952380952	0.0380952380952381	iadLike	0.632573019650838
Rhodococcus	6.33333333333333	72.5	42.1666666666667	404	0.0156765676567657	0.179455445544554	0.104372937293729	iacLike	0.736726653166129
Rhodoferax	0	0	2	18	0	0	0.111111111111111	iadLike	1.05
Rhodoplanes	0	0	1	6	0	0	0.166666666666667	iadLike	0.836106474695303
Rhodospirillaceae	0	0	1	32	0	0	0.03125	iadLike	0.253745999906828
Rhodospirillales	0	0	1	5	0	0	0.2	iadLike	0.02467404278335
Robbsia	0	3	0	3	0	1	0	iacLike	1
Roseobacter	0	1	0	227	0	0.00440528634361234	0	iacLike	0.0279364988280828
Roseomonas	0	0	1	41	0	0	0.024390243902439	iadLike	0.0662383627517798
Roseovarius	0	0	1	47	0	0	0.0212765957446809	iadLike	0
Ruegeria	0	0	4	150	0	0	0.0266666666666667	iadLike	1.05
Rugamonas	0	1	0	7	0	0.142857142857143	0	iacLike	0.0200991109493257
Saccharomonospora	0	1	0	18	0	0.0555555555555556	0	iacLike	0.079876189617377
Saccharopolyspora	2	11	0	31	0.0645161290322581	0.354838709677419	0	iacLike	0.617971169996686
Sagittula	0	2	0	3	0	0.666666666666667	0	iacLike	1.05
Salinibacter	0	0	1	4	0	0	0.25	iadLike	1.05
Salinicola	0	3	0	20	0	0.15	0	iacLike	0.179211644118123
Scandinavium	0	3	0	3	0	1	0	iacLike	1
Sciscionella	0	0	1	2	0	0	0.5	iadLike	0.580961727183513
Scopulibacillus	0	0	1	1	0	0	1	iadLike	1
Serratia	0	4	0	839	0	0.00476758045292014	0	iacLike	1.05
Sphaerotilus	0	3	0	7	0	0.428571428571429	0	iacLike	1.05
Sphingobium	0	6	2	132	0	0.0454545454545455	0.0151515151515152	iacLike	0.705204662992902
Sphingomonas	0	8.33333333333333	4.66666666666667	410	0	0.0203252032520325	0.0113821138211382	iacLike	0.554244351372836
Sphingopyxis	0	0	2	68	0	0	0.0294117647058824	iadLike	0.0100814923688144
Sphingosinicella	0	0	2	9	0	0	0.222222222222222	iadLike	0
Spongiibacter	0	0	1	5	0	0	0.2	iadLike	0.242719714512363
Sporosarcina	0	0	13	55	0	0	0.236363636363636	iadLike	0.0727268028479935
Stappia	0	1	0	17	0	0.0588235294117647	0	iacLike	0.0647610838740255
Streptomyces	4	18	0	2039	0.00196174595389897	0.00882785679254536	0	iacLike	1.05
Sulfitobacter	0	0	3	65	0	0	0.0461538461538462	iadLike	0.235634437144325
