Treatment	Background	Length_cm
Δ68-70	CL28	0.752713044221046
ΔHS33	CL28	2.39768705659176
ΔHS33	CL28	0.668138544870366
ΔHS33	CL28	8.02611998837946
ΔHS33 pBBR1:68-69	CL28	0.439787396623532
ΔHS33 pBBR1:68-69	CL28	0.376356522110523
ΔHS33 pBBR1:68-69	CL28	0.765399219123648
ΔHS33 pBBR1:68-70	CL28	7.99229018863919
ΔHS33 pBBR1:68-70	CL28	7.04928452087912
ΔHS33 pBBR1:68-70	CL28	7.7935401151651
NB	IAA	0.532819345909279
NB	IAA	0.73579814435091
NB	IAA	0.156462823798757
CL14	IAA	5.10407103581349
CL14	IAA	3.54367152279346
CL14	IAA	0.2241224232793
Δ68-69	IAA	0.257952223019572
Δ68-69	IAA	0.253723498052038
Δ68-69	IAA	0.456702296493668
Δ68-70	IAA	0.989521642402948
Δ68-70	IAA	0
Δ68-70	IAA	0.342526722370251
ΔHS33	IAA	0.139547923928621
ΔHS33	IAA	0.207207523409164
ΔHS33	IAA	0.253723498052038
ΔHS33 pBBR1:68-69	IAA	3.93694294477412
ΔHS33 pBBR1:68-69	IAA	6.9477951216583
ΔHS33 pBBR1:68-69	IAA	5.13790083555377
ΔHS33 pBBR1:68-70	IAA	4.84189008782639
ΔHS33 pBBR1:68-70	IAA	1.19672916581211
ΔHS33 pBBR1:68-70	IAA	4.09763449354041
NB	NB	6.03439052867097
NB	NB	5.61151803191757
NB	NB	7.5821038667884
NB	CL28	0.646994920032697
NB	CL28	0.858431168409395
NB	CL28	0.900718418084734
CL14	CL28	2.7021552542542
CL14	CL28	4.79114538821598
CL14	CL28	0.71465451951324
Δ68-69	CL28	1.37856433941607
Δ68-69	CL28	1.19672916581211
Δ68-69	CL28	0.93877694279254
Δ68-70	CL28	0.854202443441861
Δ68-70	CL28	1.3574207145784
Δ68-70	CL28	0.803457743831453
ΔHS33	CL28	0.676595994805434
ΔHS33	CL28	0.380585247078057
ΔHS33	CL28	1.0952397665913
ΔHS33 pBBR1:68-69	CL28	0.262180947987106
ΔHS33 pBBR1:68-69	CL28	1.14175574123417
ΔHS33 pBBR1:68-69	CL28	1.13752701626664
ΔHS33 pBBR1:68-70	CL28	6.44457685052176
ΔHS33 pBBR1:68-70	CL28	7.20151861971034
ΔHS33 pBBR1:68-70	CL28	7.03659834597652
NB	NB	7.53135916717799
NB	NB	8.11069448773014
NB	NB	6.41920450071656
NB	CL28	0.697739619643104
NB	CL28	0.689282169708036
NB	CL28	1.82258046100714
CL14	CL28	6.9604812965609
CL14	CL28	6.9477951216583
CL14	CL28	7.54827406704813
Δ68-69	CL28	1.09946849155883
Δ68-69	CL28	0.706197069578172
Δ68-69	CL28	0.837287543571725
Δ68-70	CL28	1.75914958649413
Δ68-70	CL28	1.20941534071471
Δ68-70	CL28	1.45468138883168
ΔHS33	CL28	0.790771568928851
ΔHS33	CL28	0.790771568928851
ΔHS33	CL28	1.65343146230578
ΔHS33 pBBR1:68-69	CL28	1.39125051431867
ΔHS33 pBBR1:68-69	CL28	8.17412536224315
ΔHS33 pBBR1:68-69	CL28	0.790771568928851
ΔHS33 pBBR1:68-70	CL28	1.3574207145784
ΔHS33 pBBR1:68-70	CL28	1.31090473993553
ΔHS33 pBBR1:68-70	CL28	1.45468138883168
NB	IAA	0.849973718474327
NB	IAA	0.71465451951324
NB	IAA	0.646994920032697
CL14	IAA	6.21622570227493
CL14	IAA	2.83324572824776
CL14	IAA	5.01103908652775
Δ68-69	IAA	0
Δ68-69	IAA	0.126861749026019
Δ68-69	IAA	0.300239472694911
Δ68-70	IAA	0.964149292597744
Δ68-70	IAA	0.0380585247078057
Δ68-70	IAA	1.49696863850702
ΔHS33	IAA	0
ΔHS33	IAA	0.414415046818328
ΔHS33	IAA	0.710425794545706
ΔHS33 pBBR1:68-69	IAA	7.26917821919088
ΔHS33 pBBR1:68-69	IAA	5.56077333230716
ΔHS33 pBBR1:68-69	IAA	5.37470943373567
ΔHS33 pBBR1:68-70	IAA	6.94356639669077
ΔHS33 pBBR1:68-70	IAA	7.53981661711306
ΔHS33 pBBR1:68-70	IAA	5.83564045519687
